id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0061,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,61,pH,8.5,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0076,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,76,Temperature of Water,6.4,CELSIUS
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0077,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,77,Conductivity at 25 C,529,MICROSIEMENS PER CENTIMETRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0085,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,85,BOD : 5 Day ATU,1.7,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0111,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,111,Ammoniacal Nitrogen as N,<0.03,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0116,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,116,"Nitrogen, Total Oxidised as N",1.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0117,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,117,Nitrate as N,1.19,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0118,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,118,Nitrite as N,0.0084,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0119,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,119,Ammonia un-ionised as N,<0.00042,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0162,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,162,Alkalinity to pH 4.5 as CaCO3,82,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/NE-49301997/sample/1771883/observation/0180,TEST-2,SHEAF AT GRANVILLE SQUARE SOUTH U/S PORTER BROOK,-1.4631,53.374,NorthEast,NORTH EAST - YORKSHIRE,"DON, ROTHER",OPEN,FRESHWATER - RIVERS,2025-03-14T12:59:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),RIVER / RUNNING SURFACE WATER,180,"Orthophosphate, reactive as P",0.028,MILLIGRAM PER LITRE
